Analyte,Wavelength,Mermet_ax,Wash3,2ppm_Fe_ax,20ppmFe_ax,200ppmFe_ax,700ppmFe_ax,1000ppmFe_ax,2000ppmFe_ax,10000ppmFe_ax
Br 163.280,163.2415,85.8,84.2,84.4,96.0,200.3,434.2,550.8,843.1,1985.6
Br 163.280,163.2465,86.8,83.9,85.4,94.9,198.9,430.1,545.8,832.5,1966.1
Br 163.280,163.2515,87.6,84.2,85.7,95.6,203.7,429.3,547.3,836.4,1954.4
Br 163.280,163.2564,86.9,84.8,84.8,98.7,205.1,444.1,559.4,851.0,1970.3
Br 163.280,163.2614,87.7,84.6,85.6,97.1,202.3,431.7,553.0,835.7,1958.6
Br 163.280,163.2664,86.2,83.9,82.6,95.5,196.9,424.5,543.2,829.3,1942.6
Br 163.280,163.2714,86.3,83.5,84.0,96.0,197.1,424.8,539.3,826.6,1947.6
Br 163.280,163.2764,87.9,83.6,84.3,95.8,195.9,427.3,545.8,827.6,1954.5
Br 163.280,163.2813,86.8,83.0,83.3,95.8,196.4,425.3,540.3,832.7,1947.1
Br 163.280,163.2863,87.2,82.3,84.5,95.8,197.9,426.2,544.4,832.9,1947.5
Br 163.280,163.2913,88.3,83.4,84.7,96.4,197.0,427.1,543.2,831.1,1946.2
Br 163.280,163.2963,88.1,83.5,85.6,97.1,201.3,438.0,557.7,852.6,1982.9
Br 163.280,163.3013,86.0,83.2,82.7,94.6,201.8,438.6,561.0,861.4,1999.9
Br 163.280,163.3062,87.6,82.8,85.7,96.0,200.0,426.6,546.4,842.9,1952.3
Al 167.022,166.9748,94.6,89.5,92.1,105.4,228.3,496.5,634.6,974.9,2271.1
Al 167.022,166.9799,94.8,90.6,91.4,106.8,224.3,491.7,627.7,966.7,2260.9
Al 167.022,166.985,95.6,93.8,93.6,108.0,227.6,496.0,629.0,961.8,2272.4
Al 167.022,166.9901,96.0,92.0,93.9,106.8,224.7,491.1,630.9,971.0,2268.8
Al 167.022,166.9952,94.6,89.8,92.8,104.2,220.9,489.3,628.4,965.9,2271.2
Al 167.022,167.0003,94.2,90.0,90.2,104.0,225.1,494.6,634.1,974.9,2283.7
Al 167.022,167.0054,95.8,91.6,93.1,107.0,228.1,499.3,636.5,982.3,2289.5
Al 167.022,167.0105,95.2,90.4,91.8,106.4,232.8,517.9,662.2,1026.5,2393.3
Al 167.022,167.0156,96.1,91.0,93.9,111.2,268.5,631.1,807.0,1271.8,2922.4
Al 167.022,167.0207,97.2,93.0,97.1,113.6,266.9,613.3,788.7,1243.2,2888.5
Al 167.022,167.0258,97.0,92.6,95.4,110.1,233.3,512.4,657.9,1016.3,2380.7
Al 167.022,167.0309,95.8,92.8,94.7,109.0,231.6,505.3,647.5,995.8,2343.7
Al 167.022,167.03599999999997,95.0,90.6,93.2,106.1,228.5,505.9,648.9,1003.9,2361.0
Al 167.022,167.0411,95.8,91.4,92.6,106.7,231.2,510.4,646.7,1006.2,2378.7
Al 167.022,167.0462,95.0,92.8,92.4,104.3,227.3,505.7,641.5,989.7,2341.9
Al 167.022,167.0513,96.2,90.8,93.0,106.4,227.5,498.7,639.7,982.4,2304.1
Al 167.022,167.0564,93.4,89.3,91.9,105.2,226.2,496.0,627.8,970.3,2287.0
Al 167.022,167.0615,94.0,88.4,90.9,105.4,225.0,491.5,630.0,966.7,2283.9
Al 167.022,167.0666,95.0,91.7,90.5,104.0,225.1,492.8,628.0,974.9,2286.9
Al 167.022,167.0717,94.8,87.8,91.0,104.4,223.1,497.5,631.3,971.0,2286.2
Al 167.022,167.0768,91.8,89.2,91.2,103.4,224.3,493.6,628.3,969.9,2272.2
Al 167.022,167.0819,93.2,89.8,91.3,103.6,226.2,502.9,638.9,985.1,2307.7
Al 167.022,167.08700000000002,94.3,90.4,91.3,106.4,223.9,502.6,637.1,983.5,2285.0
Al 167.022,167.0921,94.8,91.9,93.8,106.8,223.3,491.2,625.2,966.1,2243.7
Al 167.022,167.0972,95.3,90.2,89.9,105.0,223.1,488.1,621.1,957.8,2238.3
Al 167.022,167.1023,93.1,88.5,92.5,103.2,223.7,486.2,620.8,956.3,2229.9
Al 167.022,167.1074,92.8,89.8,92.7,104.8,223.2,486.4,623.9,955.7,2240.4
Al 167.022,167.1125,93.1,89.6,91.3,103.7,220.6,489.4,619.7,948.4,2224.9
Al 167.022,167.1176,93.6,89.5,90.5,102.9,223.9,479.8,615.0,945.0,2215.1
Al 167.022,167.1227,92.4,90.1,90.0,103.4,219.4,481.4,616.9,936.9,2202.1
Pb 168.154,168.1143,89.2,86.2,87.2,98.4,205.7,443.2,564.4,877.1,2085.5
Pb 168.154,168.1195,88.8,84.1,86.6,99.3,205.2,444.7,572.5,878.2,2093.4
Pb 168.154,168.1246,90.4,86.0,86.0,100.2,209.3,448.3,574.3,878.0,2108.0
Pb 168.154,168.1297,87.6,85.2,86.1,97.9,208.7,448.2,572.2,881.0,2108.0
Pb 168.154,168.1348,89.4,86.7,85.8,99.4,207.6,448.5,571.6,890.2,2108.5
Pb 168.154,168.14,88.9,86.2,87.8,98.9,207.7,449.4,573.1,883.5,2110.2
Pb 168.154,168.1451,90.0,85.6,86.4,99.8,207.9,451.1,581.3,889.1,2117.0
Pb 168.154,168.1502,90.6,86.4,87.0,98.9,209.6,461.8,589.1,907.9,2157.3
Pb 168.154,168.1554,90.9,86.1,86.5,100.2,224.7,493.4,632.3,965.5,2191.2
Pb 168.154,168.1605,88.2,85.0,87.2,97.6,212.4,470.5,596.6,922.9,2146.0
Pb 168.154,168.1656,89.4,84.6,88.3,100.4,210.5,455.2,582.8,897.4,2124.4
Pb 168.154,168.1708,89.7,85.8,87.3,98.3,208.4,453.8,576.8,891.4,2117.7
Pb 168.154,168.1759,91.2,86.5,87.2,98.6,207.4,453.2,574.5,895.0,2108.8
Pb 168.154,168.18099999999998,91.2,86.7,87.1,100.7,210.0,457.5,582.7,896.3,2120.3
P 177.434,177.3901,101.5,97.4,99.2,112.4,234.9,506.2,642.1,995.5,2382.8
P 177.434,177.3955,101.2,96.8,98.4,111.2,228.5,496.5,640.8,981.9,2342.3
P 177.434,177.4009,103.6,98.5,99.0,111.9,230.4,499.2,634.1,984.7,2337.1
P 177.434,177.4063,103.7,99.0,100.1,112.8,229.6,502.3,635.9,989.2,2345.2
P 177.434,177.4118,103.0,99.0,100.0,113.6,230.4,502.5,637.0,984.7,2345.6
P 177.434,177.4172,103.2,96.6,99.4,111.7,233.5,508.5,642.9,1001.1,2365.6
P 177.434,177.4226,99.9,97.8,97.4,112.8,235.8,509.8,650.1,1005.2,2417.1
P 177.434,177.428,102.7,98.8,99.2,115.2,236.7,515.8,659.4,1018.5,2460.8
P 177.434,177.4334,100.7,96.7,101.0,114.2,237.1,513.3,653.3,1014.2,2440.8
P 177.434,177.4389,100.4,96.8,98.2,113.1,234.7,509.9,645.7,995.1,2386.1
P 177.434,177.4443,101.6,97.4,97.8,112.3,232.5,510.0,651.4,995.0,2397.3
P 177.434,177.4497,101.6,97.4,99.2,111.8,233.5,506.9,648.9,997.8,2394.8
P 177.434,177.4551,100.8,95.8,99.9,112.9,238.3,518.1,663.2,1027.1,2485.6
P 177.434,177.4605,101.4,97.1,100.1,113.9,242.3,528.2,673.1,1047.5,2524.6
I 178.215,178.1657,111.1,103.9,105.5,120.6,269.7,593.2,747.8,1138.7,2626.3
I 178.215,178.1711,109.6,105.4,107.8,121.3,270.5,594.2,751.3,1144.7,2640.0
I 178.215,178.1765,110.7,105.4,106.5,122.9,269.5,591.4,755.3,1145.4,2656.1
I 178.215,178.18200000000002,108.8,104.2,106.8,123.6,280.8,616.7,770.8,1171.3,2680.8
I 178.215,178.1874,107.2,102.5,104.8,121.3,281.5,617.3,780.2,1184.8,2701.2
I 178.215,178.1929,110.1,103.0,106.8,121.9,274.4,598.8,763.2,1162.2,2688.3
I 178.215,178.1983,108.6,104.2,106.3,122.5,269.8,587.7,742.4,1139.2,2603.1
I 178.215,178.2037,106.5,98.5,102.9,119.3,267.0,580.0,733.9,1120.2,2576.5
I 178.215,178.2092,106.9,101.7,106.7,121.1,269.5,581.8,735.8,1122.7,2587.2
I 178.215,178.2146,108.2,103.0,104.8,121.1,265.9,580.6,737.3,1126.7,2603.6
I 178.215,178.2201,106.3,104.0,106.7,121.8,265.1,582.3,731.6,1124.2,2604.2
I 178.215,178.2255,108.5,101.4,106.0,123.1,266.9,581.4,735.4,1128.8,2605.0
I 178.215,178.2309,107.2,104.6,104.6,121.4,267.8,587.3,747.4,1145.4,2629.2
I 178.215,178.2364,109.8,104.2,104.5,120.5,267.1,584.4,746.0,1138.5,2617.4
I 178.215,178.2418,105.7,100.7,103.9,119.5,258.8,567.0,723.9,1101.4,2565.7
I 178.215,178.2473,106.2,102.4,104.3,119.3,262.9,574.2,730.8,1114.3,2580.4
I 178.215,178.2527,106.4,101.7,103.2,120.3,259.7,567.6,729.2,1106.6,2571.9
I 178.215,178.2581,103.7,98.6,100.4,116.1,254.3,562.5,709.1,1084.5,2532.1
I 178.215,178.2636,101.4,100.6,102.2,116.9,253.4,557.3,705.0,1087.4,2536.0
I 178.215,178.269,103.5,101.2,100.2,116.6,255.7,557.9,711.7,1089.9,2564.0
I 178.215,178.2745,106.3,100.2,101.8,117.1,253.4,558.0,705.1,1078.5,2521.5
I 178.215,178.2799,105.0,98.5,101.4,117.5,250.6,548.5,700.5,1065.9,2497.7
I 178.215,178.2853,104.8,99.5,102.2,116.5,251.4,548.5,699.5,1068.6,2493.5
I 178.215,178.2908,105.2,102.2,102.0,119.3,252.4,551.9,700.1,1069.7,2491.0
I 178.215,178.2962,104.4,100.0,102.0,115.6,253.4,554.5,711.0,1083.9,2547.3
I 178.215,178.3017,102.2,96.8,98.7,116.3,267.7,615.3,785.1,1222.7,2990.9
I 178.215,178.3071,100.8,95.7,97.6,113.9,261.2,585.8,757.6,1168.2,2838.5
I 178.215,178.3125,102.3,98.4,101.4,115.0,249.9,550.2,700.6,1078.0,2523.3
I 178.215,178.31799999999998,103.6,100.2,100.2,113.7,253.2,544.6,697.3,1060.8,2469.4
I 178.215,178.3234,104.9,101.0,102.3,116.3,252.7,541.9,690.5,1056.7,2462.3
S 180.669,180.6264,129.5,125.6,127.7,142.7,285.4,604.7,770.3,1172.9,2791.1
S 180.669,180.6319,127.5,122.9,125.5,140.4,279.1,602.1,767.8,1171.7,2781.1
S 180.669,180.6375,122.4,119.7,121.5,138.9,278.4,602.1,768.6,1175.6,2808.8
S 180.669,180.643,127.4,122.8,122.9,140.4,281.8,599.8,762.3,1173.2,2794.0
S 180.669,180.6485,130.1,125.1,127.9,143.7,294.3,617.7,783.3,1198.8,2825.4
S 180.669,180.65400000000002,133.1,128.9,129.6,144.8,302.4,637.0,812.5,1237.9,2960.3
S 180.669,180.6595,131.0,125.4,128.1,143.8,300.4,665.6,851.0,1319.5,3252.0
S 180.669,180.6651,131.7,128.6,128.9,145.7,300.0,642.9,824.1,1271.6,3106.0
S 180.669,180.6706,132.1,126.5,130.1,144.7,295.1,626.6,793.1,1216.3,2930.0
S 180.669,180.6761,131.0,125.6,129.0,144.6,287.2,614.2,781.3,1190.8,2825.4
S 180.669,180.6816,130.1,124.2,126.3,144.3,284.2,605.1,768.6,1176.8,2782.6
S 180.669,180.6871,127.9,123.9,126.1,140.1,280.6,599.9,768.0,1177.7,2789.0
S 180.669,180.6927,129.1,125.3,125.9,139.9,285.5,606.3,772.2,1194.3,2837.1
S 180.669,180.6982,127.5,123.1,126.2,141.3,288.5,625.5,795.2,1224.1,2907.2
S 181.975,181.9321,160.6,152.9,154.2,169.2,304.7,621.1,777.1,1184.4,2831.0
S 181.975,181.9376,156.4,149.1,148.4,166.6,302.9,612.1,772.8,1176.3,2809.1
S 181.975,181.9432,154.3,146.9,150.1,166.0,303.8,611.9,774.9,1175.4,2816.0
S 181.975,181.9487,156.4,149.8,152.0,166.2,304.1,620.6,779.2,1179.9,2825.0
S 181.975,181.9543,163.8,157.4,159.0,174.0,315.4,630.6,788.3,1189.6,2849.6
S 181.975,181.9599,162.8,158.2,158.5,174.4,314.5,629.7,794.2,1198.6,2865.1
S 181.975,181.9654,168.2,158.0,160.4,174.1,315.4,642.8,810.2,1229.4,2936.2
S 181.975,181.97099999999998,166.6,160.6,161.5,176.3,321.8,650.2,818.8,1234.6,2975.8
S 181.975,181.9765,162.7,158.6,158.5,172.2,320.4,653.3,823.3,1254.1,3009.0
S 181.975,181.9821,162.2,151.8,155.2,172.9,323.9,668.7,849.8,1300.4,3172.0
S 181.975,181.9877,154.5,146.8,145.7,169.6,326.9,685.5,878.4,1361.7,3400.9
S 181.975,181.9932,157.4,151.4,154.6,172.7,323.3,665.0,841.9,1282.5,3142.4
S 181.975,181.9988,161.4,158.2,161.2,174.8,325.1,663.5,835.5,1275.7,3111.6
S 181.975,182.0043,163.5,158.7,161.2,174.6,324.2,661.0,842.3,1289.9,3141.4
B 182.528,182.4839,150.8,142.0,144.0,164.8,327.9,705.9,897.6,1378.3,3335.1
B 182.528,182.4894,151.0,145.1,149.3,163.8,327.4,693.9,886.9,1357.2,3262.6
B 182.528,182.495,154.4,147.8,150.0,166.6,328.4,692.7,883.6,1346.9,3202.4
B 182.528,182.5006,148.6,142.4,143.7,162.0,322.4,683.2,872.5,1320.3,3125.2
B 182.528,182.5062,151.4,146.6,149.8,165.0,328.1,686.5,874.6,1324.5,3127.0
B 182.528,182.5117,152.7,142.7,148.0,165.6,327.7,691.2,871.2,1326.3,3134.9
B 182.528,182.5173,152.2,142.9,143.6,166.8,332.6,705.4,895.1,1373.2,3281.6
B 182.528,182.5229,156.6,149.1,152.4,171.5,334.7,706.2,896.3,1367.7,3255.0
B 182.528,182.5284,159.2,154.2,158.8,177.6,346.3,712.1,894.0,1352.3,3138.8
B 182.528,182.53400000000002,144.6,139.2,140.4,161.3,324.2,681.5,863.5,1309.3,3081.3
B 182.528,182.5396,147.9,141.3,143.3,159.5,323.1,687.2,864.9,1323.4,3128.4
B 182.528,182.5451,148.3,144.8,148.0,166.4,329.4,691.8,874.7,1336.0,3162.1
B 182.528,182.5507,150.0,145.1,145.1,161.7,330.5,691.5,873.3,1335.0,3174.4
B 182.528,182.5563,144.9,137.9,140.5,160.8,320.6,686.6,871.7,1326.9,3146.8
B 182.528,182.5619,142.0,137.5,139.2,160.0,324.5,684.4,865.7,1328.4,3121.8
B 182.528,182.5674,149.7,142.6,145.2,163.0,333.4,696.2,889.1,1351.2,3208.5
B 182.528,182.57299999999998,192.3,191.0,197.1,215.0,387.5,769.0,957.5,1448.8,3419.6
B 182.528,182.5786,195.9,193.1,201.2,216.6,391.3,772.8,958.6,1463.2,3451.3
B 182.528,182.5841,151.7,141.3,147.1,166.5,348.2,750.9,960.6,1486.0,3643.6
B 182.528,182.5897,143.1,141.8,139.7,159.8,329.9,703.1,893.2,1367.2,3243.2
B 182.528,182.5953,143.1,137.9,139.5,160.6,334.9,714.8,898.0,1361.7,3172.0
B 182.528,182.6008,145.1,138.8,140.2,160.2,335.4,705.6,890.6,1347.9,3156.0
I 182.976,182.9321,118.0,114.3,118.3,129.1,260.2,544.8,689.5,1042.8,2486.1
I 182.976,182.9377,122.1,117.6,121.0,134.3,261.5,542.5,684.9,1040.8,2476.1
I 182.976,182.9433,117.8,114.4,117.3,130.9,256.2,537.8,676.5,1036.1,2433.4
I 182.976,182.9489,117.1,114.3,115.6,129.7,254.4,530.6,672.2,1022.3,2416.2
I 182.976,182.9545,118.7,116.9,119.5,131.2,256.6,532.0,671.4,1026.1,2414.4
I 182.976,182.9601,120.2,115.3,117.4,133.3,262.3,551.0,696.2,1057.4,2531.2
I 182.976,182.9657,121.1,116.7,117.9,131.6,272.6,595.4,759.4,1183.8,2876.7
I 182.976,182.9713,115.9,111.5,114.0,127.5,256.2,528.6,671.7,1026.7,2426.6
I 182.976,182.9769,115.9,112.1,114.4,128.2,255.0,531.3,664.9,1016.0,2382.3
I 182.976,182.9825,116.9,112.5,113.6,128.7,263.5,566.8,724.8,1112.8,2656.1
I 182.976,182.988,117.5,113.6,117.3,127.7,264.1,557.2,705.6,1081.9,2559.5
I 182.976,182.9936,118.8,113.2,114.1,127.9,252.0,526.7,658.2,1002.5,2364.0
I 182.976,182.9992,117.8,113.2,115.0,128.2,249.2,516.5,652.4,994.5,2335.9
I 182.976,183.0048,115.0,111.3,112.4,124.5,247.6,519.5,655.0,1003.3,2374.8
Hg 184.886,184.8433,202.6,197.0,201.8,220.8,412.4,885.5,1124.5,1774.1,4748.8
Hg 184.886,184.84900000000002,203.5,199.5,198.4,220.4,413.8,876.0,1121.3,1765.6,4724.2
Hg 184.886,184.8546,197.7,192.5,194.5,216.3,407.9,861.0,1095.3,1733.9,4615.5
Hg 184.886,184.8603,196.3,189.4,191.1,209.2,388.3,804.5,1026.5,1600.3,4172.1
Hg 184.886,184.8659,197.1,188.1,193.0,210.4,381.3,778.7,997.6,1547.8,3996.5
Hg 184.886,184.8716,202.8,193.9,197.4,215.1,383.2,772.5,978.1,1512.0,3865.3
Hg 184.886,184.8772,206.9,196.3,200.7,219.0,390.3,788.8,1001.1,1535.5,3975.4
Hg 184.886,184.8829,205.2,191.6,197.0,216.8,385.6,769.5,979.8,1510.8,3856.4
Hg 184.886,184.8885,211.2,198.5,200.7,219.7,380.9,761.3,964.8,1476.0,3738.3
Hg 184.886,184.8942,215.8,203.6,206.7,224.8,391.8,772.0,972.4,1487.1,3781.7
Hg 184.886,184.8998,211.0,201.6,200.1,220.5,387.6,776.7,979.3,1505.9,3876.1
Hg 184.886,184.9055,210.4,202.0,203.6,224.1,391.8,777.4,982.0,1509.7,3903.2
Hg 184.886,184.9111,213.6,204.6,208.2,226.4,395.2,782.2,984.7,1516.3,3878.3
Hg 184.886,184.9168,215.1,209.4,209.4,230.1,400.4,782.2,988.9,1525.3,3915.5
As 188.979,188.9347,211.0,204.8,210.4,235.5,487.9,1070.2,1379.5,2229.2,6581.6
As 188.979,188.9405,203.1,200.4,205.5,222.5,413.0,837.6,1055.5,1612.8,3966.7
As 188.979,188.9463,196.4,191.7,194.5,213.7,398.9,817.2,1037.5,1566.2,3801.9
As 188.979,188.952,200.8,196.3,198.9,217.7,403.3,817.6,1034.7,1558.6,3760.4
As 188.979,188.9578,208.3,203.2,206.3,226.9,426.1,874.1,1089.0,1670.6,4087.2
As 188.979,188.9636,207.4,205.6,207.6,233.1,465.3,1010.6,1296.9,2034.9,5345.1
As 188.979,188.9693,198.6,194.5,197.7,220.4,414.1,845.7,1065.2,1613.7,3971.5
As 188.979,188.9751,201.4,196.1,199.4,218.4,402.1,812.9,1022.7,1548.7,3706.1
As 188.979,188.9809,199.8,196.5,197.6,218.6,399.9,802.6,1015.0,1524.7,3648.9
As 188.979,188.9867,200.5,195.4,197.8,217.2,402.4,806.3,1006.2,1530.3,3644.6
As 188.979,188.9924,202.3,199.7,201.7,220.1,400.2,814.0,1013.5,1536.6,3671.7
As 188.979,188.9982,200.1,197.0,202.6,218.2,402.4,812.1,1018.9,1537.5,3685.4
As 188.979,189.00400000000002,204.7,196.7,203.6,220.9,410.1,810.3,1016.3,1540.0,3672.4
As 188.979,189.0097,207.4,201.6,204.8,225.1,408.5,819.1,1018.0,1540.2,3699.5
Sn 189.927,189.8771,245.6,238.1,240.7,266.1,522.0,1113.4,1436.9,2278.1,6186.0
Sn 189.927,189.8829,253.0,239.7,242.0,271.0,480.8,980.3,1244.2,1918.8,4931.5
Sn 189.927,189.8887,262.6,251.3,256.0,278.4,481.7,944.3,1198.7,1815.6,4552.1
Sn 189.927,189.8945,265.4,255.1,260.0,280.9,487.6,950.8,1199.7,1808.8,4473.2
Sn 189.927,189.9003,247.7,241.2,247.4,268.5,474.4,950.6,1192.6,1810.6,4418.1
Sn 189.927,189.9061,250.0,242.5,247.5,266.1,476.6,944.7,1190.1,1794.3,4330.4
Sn 189.927,189.9119,266.5,260.7,267.1,286.6,487.9,955.1,1189.2,1800.0,4400.2
Sn 189.927,189.9177,259.2,252.4,258.1,278.0,487.9,967.5,1218.9,1860.6,4689.3
Sn 189.927,189.9235,256.2,248.0,249.6,273.1,489.9,981.2,1238.7,1890.7,4859.6
Sn 189.927,189.9293,260.9,254.8,256.8,279.0,495.6,972.4,1230.1,1873.6,4745.5
Sn 189.927,189.9351,262.8,256.0,254.2,281.0,492.4,970.8,1216.7,1844.4,4639.2
Sn 189.927,189.9409,247.2,242.7,246.6,264.9,473.5,946.2,1192.3,1816.4,4523.9
Sn 189.927,189.9467,254.4,248.4,251.8,276.3,484.5,955.6,1203.0,1817.9,4516.9
Sn 189.927,189.9525,265.3,260.8,267.3,288.3,523.2,1072.3,1358.7,2091.5,5380.0
Sn 189.927,189.9583,272.1,266.4,272.1,297.1,524.5,1049.0,1317.5,2031.4,5130.6
Sn 189.927,189.9641,274.5,268.7,269.8,291.9,498.2,966.1,1202.0,1808.6,4389.5
Sn 189.927,189.9699,268.3,263.5,264.8,289.8,486.3,946.3,1185.3,1775.4,4293.9
Sn 189.927,189.9757,272.7,271.6,272.1,294.2,500.2,959.8,1194.4,1793.7,4298.9
Sn 189.927,189.9815,280.7,271.2,276.1,296.5,494.7,946.2,1182.0,1773.6,4271.7
Sn 189.927,189.9873,269.2,263.5,268.5,289.4,488.8,953.7,1199.0,1789.7,4302.5
Sn 189.927,189.9931,264.9,257.3,261.6,285.3,491.6,957.3,1197.8,1805.8,4309.3
Sn 189.927,189.9989,268.5,260.3,268.5,287.7,492.8,943.2,1178.6,1759.9,4245.9
Bi 190.171,190.1253,255.6,243.2,249.2,276.0,525.4,1101.8,1409.0,2223.2,6085.1
Bi 190.171,190.1311,262.0,248.8,256.0,281.7,515.6,1068.0,1371.5,2141.9,5735.1
Bi 190.171,190.1369,259.3,254.0,257.2,294.2,654.5,1525.2,1998.8,3270.6,9531.8
Bi 190.171,190.1427,258.6,248.6,256.0,305.1,767.9,1895.8,2524.5,4206.9,12605.2
Bi 190.171,190.1485,249.8,246.9,247.4,277.6,557.7,1210.8,1572.1,2510.6,7259.2
Bi 190.171,190.1543,247.7,239.9,241.3,268.4,520.8,1115.7,1429.8,2257.2,6464.1
Bi 190.171,190.1602,255.0,244.8,250.3,275.0,517.3,1094.9,1398.9,2208.1,6163.3
Bi 190.171,190.166,253.2,239.4,245.0,279.9,567.4,1260.6,1632.7,2657.9,8232.5
Bi 190.171,190.1718,253.0,243.8,249.8,278.0,537.0,1151.4,1468.9,2358.4,6849.8
Bi 190.171,190.1776,257.3,246.5,251.6,276.3,517.1,1077.6,1370.4,2153.5,5753.1
Bi 190.171,190.1834,249.2,242.7,247.4,267.9,476.2,960.5,1212.0,1864.8,4711.9
Bi 190.171,190.1892,248.2,242.3,241.0,262.5,463.1,925.5,1163.3,1766.5,4369.4
Bi 190.171,190.195,252.0,245.7,247.3,269.9,468.9,918.5,1150.8,1746.3,4301.4
Bi 190.171,190.2008,257.0,248.3,249.7,271.5,467.5,917.7,1154.0,1734.0,4229.5
Tl 190.801,190.7563,192.5,186.3,192.1,208.2,382.0,771.0,963.4,1457.0,3471.7
Tl 190.801,190.7622,199.5,195.1,198.4,218.2,389.6,778.0,972.0,1455.8,3470.9
Tl 190.801,190.768,202.2,198.7,202.3,220.0,393.6,770.8,965.9,1440.6,3420.4
Tl 190.801,190.7738,203.8,196.5,201.1,218.0,392.3,771.4,951.6,1437.8,3392.6
Tl 190.801,190.7796,201.2,192.8,198.0,216.7,387.6,766.9,959.9,1428.6,3389.1
Tl 190.801,190.7855,191.7,186.4,189.1,209.2,379.3,752.3,944.8,1429.8,3374.2
Tl 190.801,190.7913,182.9,181.0,183.8,200.4,374.1,753.7,945.1,1421.4,3380.8
Tl 190.801,190.7971,179.9,179.1,178.5,199.3,371.7,752.4,946.8,1435.6,3423.9
Tl 190.801,190.803,191.1,186.5,187.1,207.2,384.2,772.5,975.5,1480.1,3585.1
Tl 190.801,190.8088,192.3,183.4,189.6,209.9,407.1,849.8,1078.1,1676.9,4450.4
Tl 190.801,190.8146,187.1,184.3,185.3,208.0,427.5,946.9,1217.3,1932.4,5606.2
Tl 190.801,190.8205,194.9,189.7,193.1,212.5,398.0,816.8,1029.7,1574.4,4023.3
Tl 190.801,190.8263,194.8,189.3,192.8,210.4,396.5,802.1,1015.0,1545.5,3863.1
Tl 190.801,190.8321,194.1,185.5,188.1,208.6,388.1,793.0,997.1,1530.4,3814.6
C 193.030,192.9835,399.4,331.3,392.5,381.5,770.7,1592.6,2069.8,3316.9,10246.2
C 193.030,192.9894,404.6,336.6,399.5,381.9,713.3,1385.5,1774.1,2743.4,7804.3
C 193.030,192.9953,439.2,369.4,435.8,411.3,687.9,1207.9,1514.5,2206.7,5383.1
C 193.030,193.0012,514.6,435.0,517.0,488.9,762.0,1268.6,1613.0,2236.5,5279.7
C 193.030,193.0071,597.3,475.7,596.9,569.9,866.2,1425.2,1930.5,2558.4,6387.8
C 193.030,193.013,656.8,506.8,651.7,621.2,912.6,1423.4,1977.7,2455.3,5656.6
C 193.030,193.0189,1913.1,1345.4,1938.5,1853.5,2276.8,2916.8,4791.2,4289.8,8447.0
C 193.030,193.0248,10543.2,7006.1,10644.2,9983.8,10991.1,11507.6,21483.0,13289.8,17113.3
C 193.030,193.0307,7714.5,5114.3,7634.8,7145.1,7824.5,8041.2,14954.3,8987.6,10567.5
C 193.030,193.0366,1186.1,849.3,1165.9,1101.2,1397.3,1840.8,2825.5,2741.4,5303.0
C 193.030,193.0425,572.0,446.4,564.6,531.1,801.3,1268.3,1698.5,2159.5,4778.4
C 193.030,193.0484,550.0,438.6,550.0,522.5,775.2,1241.4,1642.5,2125.6,4698.9
C 193.030,193.0543,450.2,370.2,445.8,419.6,679.0,1142.9,1451.6,2030.1,4616.5
C 193.030,193.0602,419.7,353.3,417.6,392.4,651.7,1131.7,1406.1,2038.8,4703.1
As 193.696,193.6505,300.1,293.9,296.8,327.8,618.6,1357.1,1722.6,2735.8,7914.0
As 193.696,193.6564,300.8,294.4,300.7,356.4,892.1,2307.2,3083.8,5311.9,18718.3
As 193.696,193.6624,315.7,301.3,339.4,657.2,3674.3,11833.7,16675.0,31105.2,128794.7
As 193.696,193.6683,294.1,279.9,299.5,519.7,2531.7,7866.9,11011.3,20435.2,84517.3
As 193.696,193.6742,269.2,260.6,268.2,304.3,662.3,1577.2,2052.5,3395.7,10923.4
As 193.696,193.6801,265.8,256.0,258.8,285.8,550.8,1222.0,1543.7,2456.0,6863.0
As 193.696,193.68599999999998,277.8,264.7,269.3,298.1,559.3,1223.0,1531.2,2396.4,6659.3
As 193.696,193.692,272.8,265.5,270.4,296.8,536.2,1128.7,1406.4,2174.9,5679.4
As 193.696,193.6979,266.2,258.8,260.4,285.2,515.4,1078.8,1343.5,2050.5,5181.4
As 193.696,193.7038,277.0,267.1,269.4,294.7,517.4,1067.2,1323.0,2013.3,4959.3
As 193.696,193.7097,303.9,296.6,299.4,322.2,542.3,1087.0,1336.0,2010.5,4854.8
As 193.696,193.7156,299.6,289.3,294.9,317.4,535.6,1084.6,1337.4,2006.2,4860.0
As 193.696,193.7216,267.4,257.6,258.9,288.1,505.9,1061.7,1310.7,1990.6,4888.5
As 193.696,193.7275,273.5,267.1,270.5,293.0,508.2,1058.2,1311.6,1982.4,4813.6
Hg 194.168,194.1226,221.8,220.5,220.2,241.7,427.6,853.7,1063.1,1595.5,3848.5
Hg 194.168,194.1285,215.2,210.0,211.0,231.9,420.8,844.9,1057.6,1595.3,3872.2
Hg 194.168,194.1344,207.6,202.9,208.5,227.5,432.0,884.5,1112.6,1694.0,4161.5
Hg 194.168,194.1404,211.6,206.4,209.9,229.9,421.4,847.5,1074.6,1616.6,3913.5
Hg 194.168,194.1463,211.9,208.8,208.1,232.7,419.3,832.5,1044.0,1571.6,3750.1
